employee_id,source_employee_id,company_origin,first_name,last_name,full_name,email,department,department_standardized,job_title,manager_id,employment_type,country,jurisdiction,hire_date,source_system,salary_original,currency,pay_frequency,compensation_effective_date,salary_usd_annual,benefits_enrolled,benefits_enrollment_date,source_systems,dedup_method,failed_check,failed_check_description
AC-000044,ACQ_00044,AcquiredCo,Adam,Cooper,Adam Cooper,adam.cooper@acquiredco.com,Engineering,Engineering,Marketing Specialist,AC-000277,Part-Time,Canada,,2022-07-15,acquiredco_hris,77094,USD,Bi-Weekly,2024-06-24,2004444.0,False,,acquiredco_hris|payroll,exact_employee_id,salary_usd_annual_range,"salary_usd_annual must be between 20,000 and 2,000,000 when present"
AC-000046,ACQ_00046,AcquiredCo,Robert,Garcia,Robert Garcia,robert.garcia@acquiredco.com,Engineering,Engineering,HR Manager,,Part-Time,Japan,,2019-06-01,acquiredco_hris,133533,EUR,Bi-Weekly,2024-06-10,3749606.64,False,,acquiredco_hris|payroll,exact_employee_id,salary_usd_annual_range,"salary_usd_annual must be between 20,000 and 2,000,000 when present"
AC-000047,ACQ_00047,AcquiredCo,Deborah,Jones,Deborah Jones,deborah.jones@acquiredco.com,Strategy,Strategy,Project Manager,AC-001012,Contractor,Italy,,2020-05-31,acquiredco_hris,165031,EUR,Bi-Weekly,2023-08-14,4634070.48,False,,acquiredco_hris|payroll,exact_employee_id,salary_usd_annual_range,"salary_usd_annual must be between 20,000 and 2,000,000 when present"
AC-000049,ACQ_00049,AcquiredCo,Daniel,Shelton,Daniel Shelton,daniel.shelton@acquiredco.com,Product,Product,HR Manager,AC-001464,Full-Time,Australia,,2022-12-18,acquiredco_hris,125455,USD,Bi-Weekly,2024-12-29,3261830.0,False,,acquiredco_hris|payroll,exact_employee_id,salary_usd_annual_range,"salary_usd_annual must be between 20,000 and 2,000,000 when present"
AC-000050,ACQ_00050,AcquiredCo,Benjamin,Bell,Benjamin Bell,benjamin.bell@acquiredco.com,Strategy,Strategy,Solutions Architect,AC-000673,Full-Time,Sweden,,2023-09-24,acquiredco_hris,133546,GBP,Monthly,2024-05-04,2035241.04,False,,acquiredco_hris|payroll,exact_employee_id,salary_usd_annual_range,"salary_usd_annual must be between 20,000 and 2,000,000 when present"
AC-000066,ACQ_00066,AcquiredCo,Jack,Reyes,Jack Reyes,jack.reyes@acquiredco.com,Communications,Marketing,Senior Product Manager,AC-002531,Part-Time,Mexico,,2023-04-27,acquiredco_hris,126749,EUR,Bi-Weekly,2023-09-26,3559111.92,False,,acquiredco_hris|payroll,exact_employee_id,salary_usd_annual_range,"salary_usd_annual must be between 20,000 and 2,000,000 when present"
AC-000067,ACQ_00067,AcquiredCo,Lisa,Wright,Lisa Wright,lisa.wright@acquiredco.com,Engineering,Engineering,Operations Manager,AC-000771,Contractor,Singapore,,2024-01-18,acquiredco_hris,"£86,450",GBP,Bi-Weekly,2024-08-03,2854579.0,False,,acquiredco_hris|payroll,exact_employee_id,salary_usd_annual_range,"salary_usd_annual must be between 20,000 and 2,000,000 when present"
AC-000072,ACQ_00072,AcquiredCo,Richard,Morris,Richard Morris,richard.morris@acquiredco.com,Business Development,Sales,Systems Administrator,AC-001557,Full-Time,Canada,,2017-03-15,acquiredco_hris,191674,GBP,Monthly,2023-09-18,2921111.76,False,,acquiredco_hris|payroll,exact_employee_id,salary_usd_annual_range,"salary_usd_annual must be between 20,000 and 2,000,000 when present"
AC-000078,ACQ_00078,AcquiredCo,Anthony,Campbell,Anthony Campbell,anthony.campbell@acquiredco.com,DevOps,Engineering,Systems Administrator,AC-000763,Full-Time,India,,2015-03-27,acquiredco_hris,124416,EUR,Bi-Weekly,2023-09-22,3493601.28,False,,acquiredco_hris|payroll,exact_employee_id,salary_usd_annual_range,"salary_usd_annual must be between 20,000 and 2,000,000 when present"
AC-000082,ACQ_00082,AcquiredCo,Nicholas,Crawford,Nicholas Crawford,nicholas.crawford@acquiredco.com,Human Resources,Human Resources,Financial Analyst,AC-001175,Contractor,Hong Kong,,2019-06-02,acquiredco_hris,148243,USD,Bi-Weekly,2024-08-13,3854318.0,False,,acquiredco_hris|payroll,exact_employee_id,salary_usd_annual_range,"salary_usd_annual must be between 20,000 and 2,000,000 when present"
AC-000083,ACQ_00083,AcquiredCo,Mary,Hernandez,Mary Hernandez,mary.hernandez@acquiredco.com,Data Science,Data,Quality Assurance Engineer,AC-001196,Part-Time,Mexico,,2020-05-12,acquiredco_hris,123898,GBP,Bi-Weekly,2024-01-09,4091111.96,False,,acquiredco_hris|payroll,exact_employee_id,salary_usd_annual_range,"salary_usd_annual must be between 20,000 and 2,000,000 when present"
AC-000090,ACQ_00090,AcquiredCo,Kevin,Wilson,Kevin Wilson,kevin.wilson@acquiredco.com,Supply Chain,Operations,Data Analyst,AC-000133,Contractor,Hong Kong,,2017-03-01,acquiredco_hris,107924,GBP,Bi-Weekly,2023-01-30,3563650.48,False,,acquiredco_hris|payroll,exact_employee_id,salary_usd_annual_range,"salary_usd_annual must be between 20,000 and 2,000,000 when present"
AC-000099,ACQ_00099,AcquiredCo,Elizabeth,Gomez,Elizabeth Gomez,elizabeth.gomez@acquiredco.com,Communications,Marketing,Senior Software Engineer,AC-001115,Part-Time,Sweden,,2018-04-29,acquiredco_hris,130854,GBP,Bi-Weekly,2024-11-17,4320799.08,False,,acquiredco_hris|payroll,exact_employee_id,salary_usd_annual_range,"salary_usd_annual must be between 20,000 and 2,000,000 when present"
AC-000103,ACQ_00103,AcquiredCo,Jacob,Taylor,Jacob Taylor,jacob.taylor@acquiredco.com,Marketing,Marketing,Data Analyst,AC-002428,Full-Time,Canada,,2020-10-10,acquiredco_hris,97765,GBP,Bi-Weekly,2024-11-12,3228200.3,False,,acquiredco_hris|payroll,exact_employee_id,salary_usd_annual_range,"salary_usd_annual must be between 20,000 and 2,000,000 when present"
AC-000107,ACQ_00107,AcquiredCo,Anna,Collins,Anna Collins,anna.collins@acquiredco.com,Communications,Marketing,Sales Representative,AC-000890,Contractor,Mexico,,2015-01-10,acquiredco_hris,113022,EUR,Bi-Weekly,2024-08-13,3173657.76,False,,acquiredco_hris|payroll,exact_employee_id,salary_usd_annual_range,"salary_usd_annual must be between 20,000 and 2,000,000 when present"
AC-000108,ACQ_00108,AcquiredCo,William,King,William King,william.king@acquiredco.com,Manufacturing,Manufacturing,Quality Assurance Engineer,AC-002072,Part-Time,Ireland,,2017-08-09,acquiredco_hris,88357,GBP,Bi-Weekly,2024-08-02,2917548.14,False,,acquiredco_hris|payroll,exact_employee_id,salary_usd_annual_range,"salary_usd_annual must be between 20,000 and 2,000,000 when present"
AC-000109,ACQ_00109,AcquiredCo,Angela,Anderson,Angela Anderson,angela.anderson@acquiredco.com,Legal,Legal,Sales Director,AC-001785,Full-Time,United Kingdom,,2015-08-22,acquiredco_hris,139721,GBP,Monthly,2024-10-13,2129348.04,False,,acquiredco_hris|payroll,exact_employee_id,salary_usd_annual_range,"salary_usd_annual must be between 20,000 and 2,000,000 when present"
AC-000112,ACQ_00112,AcquiredCo,Christine,White,Christine White,christine.white@acquiredco.com,Engineering,Engineering,Senior Product Manager,AC-001207,Contractor,Singapore,,2024-06-08,acquiredco_hris,98159,EUR,Bi-Weekly,2024-05-31,2756304.72,False,,acquiredco_hris|payroll,exact_employee_id,salary_usd_annual_range,"salary_usd_annual must be between 20,000 and 2,000,000 when present"
AC-000116,ACQ_00116,AcquiredCo,Michael,Gordon,Michael Gordon,michael.gordon@acquiredco.com,Customer Success,Customer Support,HR Manager,AC-002171,Part-Time,United States,,2019-08-19,acquiredco_hris,91498,GBP,Bi-Weekly,2024-12-25,3021263.96,False,,acquiredco_hris|payroll,exact_employee_id,salary_usd_annual_range,"salary_usd_annual must be between 20,000 and 2,000,000 when present"
AC-000122,ACQ_00122,AcquiredCo,Pamela,Phillips,Pamela Phillips,pamela.phillips@acquiredco.com,Information Technology,Information Technology,Product Manager,AC-002158,Part-Time,Hong Kong,,2019-12-24,acquiredco_hris,114508,EUR,Bi-Weekly,2024-12-24,3215384.64,False,,acquiredco_hris|payroll,exact_employee_id,salary_usd_annual_range,"salary_usd_annual must be between 20,000 and 2,000,000 when present"
AC-000124,ACQ_00124,AcquiredCo,Nicholas,Stevens,Nicholas Stevens,nicholas.stevens@acquiredco.com,Strategy,Strategy,HR Specialist,AC-002954,Contractor,Germany,,2020-12-26,acquiredco_hris,106476,USD,Bi-Weekly,2024-07-12,2768376.0,False,,acquiredco_hris|payroll,exact_employee_id,salary_usd_annual_range,"salary_usd_annual must be between 20,000 and 2,000,000 when present"
AC-000135,ACQ_00135,AcquiredCo,Matthew,Rodriguez,Matthew Rodriguez,matthew.rodriguez@acquiredco.com,Data Science,Data,Account Executive,AC-002841,Full-Time,Spain,,2017-02-26,acquiredco_hris,76919,GBP,Bi-Weekly,2024-11-11,2539865.38,False,,acquiredco_hris|payroll,exact_employee_id,salary_usd_annual_range,"salary_usd_annual must be between 20,000 and 2,000,000 when present"
AC-000136,ACQ_00136,AcquiredCo,Dorothy,Parker,Dorothy Parker,dorothy.parker@acquiredco.com,Business Development,Sales,Product Manager,AC-000919,Contractor,Hong Kong,,2022-02-10,acquiredco_hris,116923,GBP,Bi-Weekly,2023-12-04,3860797.46,False,,acquiredco_hris|payroll,exact_employee_id,salary_usd_annual_range,"salary_usd_annual must be between 20,000 and 2,000,000 when present"
AC-000143,ACQ_00143,AcquiredCo,Joshua,Cooper,Joshua Cooper,joshua.cooper@acquiredco.com,Supply Chain,Operations,Software Engineer,AC-002397,Full-Time,Canada,,2017-10-31,acquiredco_hris,98625,USD,Bi-Weekly,2024-10-11,2564250.0,False,,acquiredco_hris|payroll,exact_employee_id,salary_usd_annual_range,"salary_usd_annual must be between 20,000 and 2,000,000 when present"
AC-000151,ACQ_00151,AcquiredCo,Kimberly,Johnson,Kimberly Johnson,kimberly.johnson@acquiredco.com,Supply Chain,Operations,Sales Representative,AC-000491,Contractor,Spain,,2016-08-23,acquiredco_hris,115512,USD,Bi-Weekly,2023-06-05,3003312.0,False,,acquiredco_hris|payroll,exact_employee_id,salary_usd_annual_range,"salary_usd_annual must be between 20,000 and 2,000,000 when present"
AC-000155,ACQ_00155,AcquiredCo,Brian,Jackson,Brian Jackson,brian.jackson@acquiredco.com,Manufacturing,Manufacturing,Marketing Manager,,Part-Time,Netherlands,,2023-01-23,acquiredco_hris,81144,EUR,Bi-Weekly,2024-06-29,2278523.52,False,,acquiredco_hris|payroll,exact_employee_id,salary_usd_annual_range,"salary_usd_annual must be between 20,000 and 2,000,000 when present"
AC-000167,ACQ_00167,AcquiredCo,Anna,Wilson,Anna Wilson,anna.wilson@acquiredco.com,Manufacturing,Manufacturing,Business Analyst,AC-002956,Full-Time,Italy,,2017-05-01,acquiredco_hris,155021,USD,Bi-Weekly,2024-09-28,4030546.0,False,,acquiredco_hris|payroll,exact_employee_id,salary_usd_annual_range,"salary_usd_annual must be between 20,000 and 2,000,000 when present"
AC-000170,ACQ_00170,AcquiredCo,Ashley,King,Ashley King,ashley.king@acquiredco.com,Operations,Operations,Account Executive,AC-000476,Part-Time,India,,2019-06-10,acquiredco_hris,183425,EUR,Monthly,2024-01-13,2377188.0,False,,acquiredco_hris|payroll,exact_employee_id,salary_usd_annual_range,"salary_usd_annual must be between 20,000 and 2,000,000 when present"
AC-000171,ACQ_00171,AcquiredCo,Gary,Martin,Gary Martin,gary.martin@acquiredco.com,Business Development,Sales,Analyst,AC-000740,Contractor,Sweden,,2022-05-19,acquiredco_hris,114928,GBP,Bi-Weekly,2024-03-03,3794922.56,False,,acquiredco_hris|payroll,exact_employee_id,salary_usd_annual_range,"salary_usd_annual must be between 20,000 and 2,000,000 when present"
AC-000172,ACQ_00172,AcquiredCo,Barbara,Hernandez,Barbara Hernandez,barbara.hernandez@acquiredco.com,Quality Assurance,Engineering,Data Scientist,AC-000968,Part-Time,Mexico,,2015-04-28,acquiredco_hris,127000,EUR,Bi-Weekly,2024-08-13,3566160.0,False,,acquiredco_hris|payroll,exact_employee_id,salary_usd_annual_range,"salary_usd_annual must be between 20,000 and 2,000,000 when present"
AC-000174,ACQ_00174,AcquiredCo,Michelle,Burns,Michelle Burns,michelle.burns@acquiredco.com,Strategy,Strategy,Project Manager,AC-002649,Full-Time,South Korea,,2018-01-22,acquiredco_hris,77926,USD,Bi-Weekly,2024-12-24,2026076.0,False,,acquiredco_hris|payroll,exact_employee_id,salary_usd_annual_range,"salary_usd_annual must be between 20,000 and 2,000,000 when present"
AC-000176,ACQ_00176,AcquiredCo,Amanda,Lee,Amanda Lee,amanda.lee@acquiredco.com,Communications,Marketing,Project Manager,AC-001268,Part-Time,Italy,,2019-01-14,acquiredco_hris,74938,GBP,Bi-Weekly,2024-09-21,2474452.76,False,,acquiredco_hris|payroll,exact_employee_id,salary_usd_annual_range,"salary_usd_annual must be between 20,000 and 2,000,000 when present"
AC-000186,ACQ_00186,AcquiredCo,Carol,Martinez,Carol Martinez,carol.martinez@acquiredco.com,Strategy,Strategy,Sales Representative,AC-000194,Contractor,Switzerland,,2024-05-04,acquiredco_hris,128888,EUR,Bi-Weekly,2024-07-14,3619175.04,False,,acquiredco_hris|payroll,exact_employee_id,salary_usd_annual_range,"salary_usd_annual must be between 20,000 and 2,000,000 when present"
AC-000187,ACQ_00187,AcquiredCo,Linda,Davis,Linda Davis,linda.davis@acquiredco.com,Supply Chain,Operations,Controller,AC-002971,Part-Time,Spain,,2023-11-30,acquiredco_hris,114708,EUR,Bi-Weekly,2024-01-18,3221000.64,False,,acquiredco_hris|payroll,exact_employee_id,salary_usd_annual_range,"salary_usd_annual must be between 20,000 and 2,000,000 when present"
AC-000189,ACQ_00189,AcquiredCo,Patricia,Perez,Patricia Perez,patricia.perez@acquiredco.com,Manufacturing,Manufacturing,QA Lead,AC-002580,Full-Time,Singapore,,2024-09-04,acquiredco_hris,"£80,319",GBP,Bi-Weekly,2024-08-10,2652133.38,False,,acquiredco_hris|payroll,exact_employee_id,salary_usd_annual_range,"salary_usd_annual must be between 20,000 and 2,000,000 when present"
AC-000194,ACQ_00194,AcquiredCo,Rachel,Ramos,Rachel Ramos,rachel.ramos@acquiredco.com,Quality Assurance,Engineering,Sales Representative,AC-000200,Contractor,Germany,,2021-12-05,acquiredco_hris,"€100,272",EUR,Bi-Weekly,2024-05-27,2815637.76,False,,acquiredco_hris|payroll,exact_employee_id,salary_usd_annual_range,"salary_usd_annual must be between 20,000 and 2,000,000 when present"
AC-000196,ACQ_00196,AcquiredCo,Debra,Crawford,Debra Crawford,debra.crawford@acquiredco.com,Engineering,Engineering,Sales Representative,AC-001895,Part-Time,Spain,,2015-04-27,acquiredco_hris,98670,GBP,Bi-Weekly,2024-01-06,3258083.4,False,,acquiredco_hris|payroll,exact_employee_id,salary_usd_annual_range,"salary_usd_annual must be between 20,000 and 2,000,000 when present"
AC-000200,ACQ_00200,AcquiredCo,Frank,Garcia,Frank Garcia,frank.garcia@acquiredco.com,Supply Chain,Operations,Quality Assurance Engineer,,Contractor,China,,2019-12-17,acquiredco_hris,89675,GBP,Bi-Weekly,2024-06-26,2961068.5,False,,acquiredco_hris|payroll,exact_employee_id,salary_usd_annual_range,"salary_usd_annual must be between 20,000 and 2,000,000 when present"
AC-000202,ACQ_00202,AcquiredCo,Mary,Nickerson,Mary Nickerson,mary.nickerson@acquiredco.com,Human Resources,Human Resources,Senior Product Manager,AC-002846,Full-Time,Netherlands,,2022-07-05,acquiredco_hris,79124,USD,Bi-Weekly,2024-07-28,2057224.0,False,,acquiredco_hris|payroll,exact_employee_id,salary_usd_annual_range,"salary_usd_annual must be between 20,000 and 2,000,000 when present"
AC-000210,ACQ_00210,AcquiredCo,William,Martinez,William Martinez,william.martinez@acquiredco.com,Business Development,Sales,Marketing Manager,AC-002466,Part-Time,Sweden,,2017-09-03,acquiredco_hris,61340,GBP,Bi-Weekly,2024-01-03,2025446.8,False,,acquiredco_hris|payroll,exact_employee_id,salary_usd_annual_range,"salary_usd_annual must be between 20,000 and 2,000,000 when present"
AC-000215,ACQ_00215,AcquiredCo,Jeffrey,Thompson,Jeffrey Thompson,jeffrey.thompson@acquiredco.com,Sales,Sales,Marketing Manager,AC-002169,Part-Time,France,,2015-06-21,acquiredco_hris,149936,USD,Bi-Weekly,2024-12-25,3898336.0,False,,acquiredco_hris|payroll,exact_employee_id,salary_usd_annual_range,"salary_usd_annual must be between 20,000 and 2,000,000 when present"
AC-000216,ACQ_00216,AcquiredCo,Janet,Scott,Janet Scott,janet.scott@acquiredco.com,Business Development,Sales,Financial Analyst,AC-001321,Part-Time,China,,2019-02-16,acquiredco_hris,108140,USD,Bi-Weekly,2024-09-30,2811640.0,False,,acquiredco_hris|payroll,exact_employee_id,salary_usd_annual_range,"salary_usd_annual must be between 20,000 and 2,000,000 when present"
AC-000219,ACQ_00219,AcquiredCo,Henry,Cooper,Henry Cooper,henry.cooper@acquiredco.com,Business Development,Sales,Staff Engineer,AC-002906,Part-Time,Brazil,,2020-10-20,acquiredco_hris,"$102,021",USD,Bi-Weekly,2024-03-18,2652546.0,False,,acquiredco_hris|payroll,exact_employee_id,salary_usd_annual_range,"salary_usd_annual must be between 20,000 and 2,000,000 when present"
AC-000221,ACQ_00221,AcquiredCo,Alexander,Thompson,Alexander Thompson,alexander.thompson@acquiredco.com,Data Science,Data,Quality Assurance Engineer,AC-000225,Part-Time,United Kingdom,,2016-02-04,acquiredco_hris,97111,GBP,Bi-Weekly,2024-02-27,3206605.22,False,,acquiredco_hris|payroll,exact_employee_id,salary_usd_annual_range,"salary_usd_annual must be between 20,000 and 2,000,000 when present"
AC-000223,ACQ_00223,AcquiredCo,Justin,Cooper,Justin Cooper,justin.cooper@acquiredco.com,Finance,Finance,QA Lead,AC-000267,Full-Time,Netherlands,,2021-09-15,acquiredco_hris,127532,USD,Bi-Weekly,2023-05-07,3315832.0,False,,acquiredco_hris|payroll,exact_employee_id,salary_usd_annual_range,"salary_usd_annual must be between 20,000 and 2,000,000 when present"
AC-000228,ACQ_00228,AcquiredCo,Patricia,Bell,Patricia Bell,patricia.bell@acquiredco.com,Data Science,Data,Staff Engineer,AC-000462,Contractor,Germany,,2018-12-02,acquiredco_hris,170784,GBP,Monthly,2024-12-11,2602748.16,False,,acquiredco_hris|payroll,exact_employee_id,salary_usd_annual_range,"salary_usd_annual must be between 20,000 and 2,000,000 when present"
AC-000233,ACQ_00233,AcquiredCo,Laura,Williams,Laura Williams,laura.williams@acquiredco.com,Product,Product,Project Manager,AC-001401,Full-Time,China,,2023-03-12,acquiredco_hris,"€96,008",EUR,Bi-Weekly,2024-12-15,2695904.64,False,,acquiredco_hris|payroll,exact_employee_id,salary_usd_annual_range,"salary_usd_annual must be between 20,000 and 2,000,000 when present"
AC-000234,ACQ_00234,AcquiredCo,Edward,Martin,Edward Martin,edward.martin@acquiredco.com,Data Science,Data,Account Executive,AC-001449,Part-Time,Ireland,,2016-10-09,acquiredco_hris,115677,GBP,Bi-Weekly,2024-06-01,3819654.54,False,,acquiredco_hris|payroll,exact_employee_id,salary_usd_annual_range,"salary_usd_annual must be between 20,000 and 2,000,000 when present"
AC-000236,ACQ_00236,AcquiredCo,Raymond,Lewis,Raymond Lewis,raymond.lewis@acquiredco.com,Human Resources,Human Resources,Product Manager,AC-000583,Contractor,Spain,,2024-06-08,acquiredco_hris,165296,GBP,Monthly,2024-09-03,2519111.04,False,,acquiredco_hris|payroll,exact_employee_id,salary_usd_annual_range,"salary_usd_annual must be between 20,000 and 2,000,000 when present"
AC-000237,ACQ_00237,AcquiredCo,John,Reeves,John Reeves,john.reeves@acquiredco.com,Information Technology,Information Technology,Marketing Specialist,AC-000961,Full-Time,France,,2021-01-22,acquiredco_hris,79452,EUR,Bi-Weekly,2023-05-23,2231012.16,False,,acquiredco_hris|payroll,exact_employee_id,salary_usd_annual_range,"salary_usd_annual must be between 20,000 and 2,000,000 when present"
AC-000242,ACQ_00242,AcquiredCo,Angela,Henry,Angela Henry,angela.henry@acquiredco.com,Data Science,Data,Data Scientist,AC-001696,Part-Time,Canada,,2016-10-06,acquiredco_hris,92360,GBP,Bi-Weekly,2024-03-16,3049727.2,False,,acquiredco_hris|payroll,exact_employee_id,salary_usd_annual_range,"salary_usd_annual must be between 20,000 and 2,000,000 when present"
AC-000246,ACQ_00246,AcquiredCo,Andrew,Hernandez,Andrew Hernandez,andrew.hernandez@acquiredco.com,Supply Chain,Operations,Controller,AC-002151,Full-Time,India,,2020-04-16,acquiredco_hris,99530,GBP,Bi-Weekly,2023-07-16,3286480.6,False,,acquiredco_hris|payroll,exact_employee_id,salary_usd_annual_range,"salary_usd_annual must be between 20,000 and 2,000,000 when present"
AC-000247,ACQ_00247,AcquiredCo,Dennis,Stevens,Dennis Stevens,dennis.stevens@acquiredco.com,Engineering,Engineering,Recruiter,AC-001293,Contractor,Singapore,,2016-08-30,acquiredco_hris,71495,EUR,Bi-Weekly,2023-12-04,2007579.6,False,,acquiredco_hris|payroll,exact_employee_id,salary_usd_annual_range,"salary_usd_annual must be between 20,000 and 2,000,000 when present"
AC-000252,ACQ_00252,AcquiredCo,Michael,Crawford,Michael Crawford,michael.crawford@acquiredco.com,Quality Assurance,Engineering,Systems Administrator,AC-000784,Part-Time,Japan,,2024-12-21,acquiredco_hris,109325,GBP,Bi-Weekly,2024-11-13,3609911.5,False,,acquiredco_hris|payroll,exact_employee_id,salary_usd_annual_range,"salary_usd_annual must be between 20,000 and 2,000,000 when present"
AC-000253,ACQ_00253,AcquiredCo,Katherine,Garrison,Katherine Garrison,katherine.garrison@acquiredco.com,Information Technology,Information Technology,Quality Assurance Engineer,AC-000205,Full-Time,Brazil,,2022-08-04,acquiredco_hris,93468,GBP,Bi-Weekly,2024-07-31,3086313.36,False,,acquiredco_hris|payroll,exact_employee_id,salary_usd_annual_range,"salary_usd_annual must be between 20,000 and 2,000,000 when present"
AC-000256,ACQ_00256,AcquiredCo,Patrick,Garrison,Patrick Garrison,patrick.garrison@acquiredco.com,Strategy,Strategy,Software Engineer,,Part-Time,Singapore,,2023-12-28,acquiredco_hris,107032,EUR,Bi-Weekly,2024-10-07,3005458.56,False,,acquiredco_hris|payroll,exact_employee_id,salary_usd_annual_range,"salary_usd_annual must be between 20,000 and 2,000,000 when present"
AC-000257,ACQ_00257,AcquiredCo,Jason,Gomez,Jason Gomez,jason.gomez@acquiredco.com,Marketing,Marketing,Data Engineer,AC-001321,Part-Time,Ireland,,2020-10-09,acquiredco_hris,113259,EUR,Bi-Weekly,2024-06-23,3180312.72,False,,acquiredco_hris|payroll,exact_employee_id,salary_usd_annual_range,"salary_usd_annual must be between 20,000 and 2,000,000 when present"
AC-000261,ACQ_00261,AcquiredCo,Elizabeth,Walker,Elizabeth Walker,elizabeth.walker@acquiredco.com,Marketing,Marketing,Staff Engineer,,Part-Time,Australia,,2022-04-25,acquiredco_hris,68034,GBP,Bi-Weekly,2024-04-21,2246482.68,False,,acquiredco_hris|payroll,exact_employee_id,salary_usd_annual_range,"salary_usd_annual must be between 20,000 and 2,000,000 when present"
AC-000265,ACQ_00265,AcquiredCo,Nancy,Gomez,Nancy Gomez,nancy.gomez@acquiredco.com,Quality Assurance,Engineering,Account Executive,AC-001123,Part-Time,United Kingdom,,2018-03-25,acquiredco_hris,"€97,588",EUR,Bi-Weekly,2023-05-30,2740271.04,False,,acquiredco_hris|payroll,exact_employee_id,salary_usd_annual_range,"salary_usd_annual must be between 20,000 and 2,000,000 when present"
