record_1_id,record_2_id,similarity_score,hire_date_diff_days,recommended_action,match_type,left_company_origin,right_company_origin,left_full_name,right_full_name,left_email,right_email,left_hire_date,right_hire_date
AC-000945,GT-013937,100.0,15,HR_REVIEW,same_full_name_hire_date_window,AcquiredCo,GlobalTech,Susan Cooper,Susan Cooper,susan.cooper@acquiredco.com,susan.cooper@globaltech.com,2022-10-21,2022-11-05
AC-001005,GT-011863,100.0,24,HR_REVIEW,same_full_name_hire_date_window,AcquiredCo,GlobalTech,Dorothy Moore,Dorothy Moore,dorothy.moore@acquiredco.com,dorothy.moore@globaltech.com,2016-09-29,2016-09-05
AC-001018,GT-013805,100.0,30,HR_REVIEW,same_full_name_hire_date_window,AcquiredCo,GlobalTech,Samuel Taylor,Samuel Taylor,samuel.taylor@acquiredco.com,samuel.taylor@globaltech.com,2023-05-13,2023-04-13
AC-001057,GT-006446,100.0,19,HR_REVIEW,same_full_name_hire_date_window,AcquiredCo,GlobalTech,Alexander Reed,Alexander Reed,alexander.reed@acquiredco.com,alexander.reed@globaltech.com,2018-04-08,2018-03-20
AC-001085,GT-000251,100.0,18,HR_REVIEW,same_full_name_hire_date_window,AcquiredCo,GlobalTech,Amy Dixon,Amy Dixon,amy.dixon@acquiredco.com,amy.dixon@globaltech.com,2024-04-14,2024-05-02
AC-001092,GT-004369,100.0,7,HR_REVIEW,same_full_name_hire_date_window,AcquiredCo,GlobalTech,Henry Russell,Henry Russell,henry.russell@acquiredco.com,henry.russell@globaltech.com,2019-04-23,2019-04-16
AC-001106,GT-008885,92.3076923076923,1,HR_REVIEW,fuzzy_name_hire_date_window,AcquiredCo,GlobalTech,Gary Campbell,Mary Campbell,gary.campbell@acquiredco.com,mary.campbell@globaltech.com,2020-04-14,2020-04-13
AC-001108,GT-003696,93.75,13,HR_REVIEW,fuzzy_name_hire_date_window,AcquiredCo,GlobalTech,Katherine Taylor,Catherine Taylor,katherine.taylor@acquiredco.com,catherine.taylor@globaltech.com,2017-11-16,2017-11-03
AC-001129,GT-009632,100.0,3,HR_REVIEW,same_full_name_hire_date_window,AcquiredCo,GlobalTech,Emma White,Emma White,emma.white@acquiredco.com,emma.white@globaltech.com,2020-03-14,2020-03-11
AC-001191,GT-000840,100.0,7,HR_REVIEW,same_full_name_hire_date_window,AcquiredCo,GlobalTech,Richard Miller,Richard Miller,richard.miller@acquiredco.com,richard.miller@globaltech.com,2015-04-06,2015-04-13
AC-001198,GT-006739,100.0,25,HR_REVIEW,same_full_name_hire_date_window,AcquiredCo,GlobalTech,Kathleen Peterson,Kathleen Peterson,kathleen.peterson@acquiredco.com,kathleen.peterson@globaltech.com,2015-03-01,2015-03-26
AC-001262,GT-001274,100.0,0,HR_REVIEW,same_full_name_hire_date_window,AcquiredCo,GlobalTech,Donald Russell,Donald Russell,donald.russell@acquiredco.com,donald.russell@globaltech.com,2021-09-29,2021-09-29
AC-001262,GT-005183,100.0,19,HR_REVIEW,same_full_name_hire_date_window,AcquiredCo,GlobalTech,Donald Russell,Donald Russell,donald.russell@acquiredco.com,donald.russell@globaltech.com,2021-09-29,2021-09-10
AC-001326,GT-009753,100.0,6,HR_REVIEW,same_full_name_hire_date_window,AcquiredCo,GlobalTech,Patrick Boyd,Patrick Boyd,patrick.boyd@acquiredco.com,patrick.boyd@globaltech.com,2024-03-11,2024-03-05
AC-001352,GT-008892,100.0,10,HR_REVIEW,same_full_name_hire_date_window,AcquiredCo,GlobalTech,Nicholas Williams,Nicholas Williams,nicholas.williams@acquiredco.com,nicholas.williams@globaltech.com,2018-05-06,2018-04-26
AC-001352,GT-011999,100.0,15,HR_REVIEW,same_full_name_hire_date_window,AcquiredCo,GlobalTech,Nicholas Williams,Nicholas Williams,nicholas.williams@acquiredco.com,nicholas.williams@globaltech.com,2018-05-06,2018-04-21
AC-001378,GT-008807,100.0,30,HR_REVIEW,same_full_name_hire_date_window,AcquiredCo,GlobalTech,Scott Shelton,Scott Shelton,scott.shelton@acquiredco.com,scott.shelton@globaltech.com,2020-10-22,2020-09-22
AC-001380,GT-008482,92.3076923076923,2,HR_REVIEW,fuzzy_name_hire_date_window,AcquiredCo,GlobalTech,Debra Reeves,Deborah Reeves,debra.reeves@acquiredco.com,deborah.reeves@globaltech.com,2018-04-26,2018-04-28
AC-001395,GT-009397,88.88888888888889,17,HR_REVIEW,fuzzy_name_hire_date_window,AcquiredCo,GlobalTech,Stephen Warren,Steven Warren,stephen.warren@acquiredco.com,steven.warren@globaltech.com,2020-02-04,2020-02-21
AC-001423,GT-004304,93.33333333333333,1,HR_REVIEW,fuzzy_name_hire_date_window,AcquiredCo,GlobalTech,Brandon Martinez,Brandon Martin,brandon.martinez@acquiredco.com,brandon.martin@globaltech.com,2022-12-31,2022-12-30
AC-001449,GT-002890,91.66666666666666,8,HR_REVIEW,fuzzy_name_hire_date_window,AcquiredCo,GlobalTech,Mary Bennett,Gary Bennett,mary.bennett@acquiredco.com,gary.bennett@globaltech.com,2018-11-19,2018-11-27
AC-001486,GT-002584,100.0,5,HR_REVIEW,same_full_name_hire_date_window,AcquiredCo,GlobalTech,Christine Reeves,Christine Reeves,christine.reeves@acquiredco.com,christine.reeves@globaltech.com,2023-12-25,2023-12-20
AC-001496,GT-009766,88.88888888888889,27,HR_REVIEW,fuzzy_name_hire_date_window,AcquiredCo,GlobalTech,Larry Phillips,Gary Phillips,larry.phillips@acquiredco.com,gary.phillips@globaltech.com,2016-05-28,2016-05-01
AC-001535,GT-009069,100.0,10,HR_REVIEW,same_full_name_hire_date_window,AcquiredCo,GlobalTech,Christopher White,Christopher White,christopher.white@acquiredco.com,christopher.white@globaltech.com,2024-12-20,2024-12-30
AC-001536,GT-012404,100.0,7,HR_REVIEW,same_full_name_hire_date_window,AcquiredCo,GlobalTech,Karen Perez,Karen Perez,karen.perez@acquiredco.com,karen.perez@globaltech.com,2022-03-03,2022-02-24
AC-001569,GT-006784,100.0,27,HR_REVIEW,same_full_name_hire_date_window,AcquiredCo,GlobalTech,Jonathan Phillips,Jonathan Phillips,jonathan.phillips@acquiredco.com,jonathan.phillips@globaltech.com,2020-05-28,2020-06-24
AC-001577,GT-001881,90.32258064516128,11,HR_REVIEW,fuzzy_name_hire_date_window,AcquiredCo,GlobalTech,Michelle Collins,Michael Collins,michelle.collins@acquiredco.com,michael.collins@globaltech.com,2018-06-14,2018-06-25
AC-001593,GT-001017,88.88888888888889,15,HR_REVIEW,fuzzy_name_hire_date_window,AcquiredCo,GlobalTech,Lisa Campbell,Linda Campbell,lisa.campbell@acquiredco.com,linda.campbell@globaltech.com,2022-06-26,2022-06-11
AC-001637,GT-006597,100.0,7,HR_REVIEW,same_full_name_hire_date_window,AcquiredCo,GlobalTech,Rebecca Collins,Rebecca Collins,rebecca.collins@acquiredco.com,rebecca.collins@globaltech.com,2016-12-27,2017-01-03
AC-001662,GT-005755,100.0,26,HR_REVIEW,same_full_name_hire_date_window,AcquiredCo,GlobalTech,Alexander Parker,Alexander Parker,alexander.parker@acquiredco.com,alexander.parker@globaltech.com,2018-09-29,2018-10-25
AC-001667,GT-009376,100.0,1,HR_REVIEW,same_full_name_hire_date_window,AcquiredCo,GlobalTech,Kenneth Lee,Kenneth Lee,kenneth.lee@acquiredco.com,kenneth.lee@globaltech.com,2024-01-04,2024-01-03
AC-001697,GT-011935,100.0,6,HR_REVIEW,same_full_name_hire_date_window,AcquiredCo,GlobalTech,Angela Lee,Angela Lee,angela.lee@acquiredco.com,angela.lee@globaltech.com,2018-03-21,2018-03-15
AC-001700,GT-001904,100.0,19,HR_REVIEW,same_full_name_hire_date_window,AcquiredCo,GlobalTech,Paul Morris,Paul Morris,paul.morris@acquiredco.com,paul.morris@globaltech.com,2015-08-30,2015-08-11
AC-001702,GT-007228,90.32258064516128,20,HR_REVIEW,fuzzy_name_hire_date_window,AcquiredCo,GlobalTech,Donald Rodriguez,Donna Rodriguez,donald.rodriguez@acquiredco.com,donna.rodriguez@globaltech.com,2016-03-15,2016-04-04
AC-001732,GT-014330,100.0,18,HR_REVIEW,same_full_name_hire_date_window,AcquiredCo,GlobalTech,Janet Reeves,Janet Reeves,janet.reeves@acquiredco.com,janet.reeves@globaltech.com,2019-08-18,2019-09-05
AC-001734,GT-007388,100.0,30,HR_REVIEW,same_full_name_hire_date_window,AcquiredCo,GlobalTech,Carolyn Reed,Carolyn Reed,carolyn.reed@acquiredco.com,carolyn.reed@globaltech.com,2022-07-22,2022-08-21
AC-001734,GT-007607,88.0,13,HR_REVIEW,fuzzy_name_hire_date_window,AcquiredCo,GlobalTech,Carolyn Reed,Carolyn Reyes,carolyn.reed@acquiredco.com,carolyn.reyes@globaltech.com,2022-07-22,2022-08-04
AC-001810,GT-004069,100.0,11,HR_REVIEW,same_full_name_hire_date_window,AcquiredCo,GlobalTech,Andrew White,Andrew White,andrew.white@acquiredco.com,andrew.white@globaltech.com,2024-11-22,2024-12-03
AC-001842,GT-014147,100.0,3,HR_REVIEW,same_full_name_hire_date_window,AcquiredCo,GlobalTech,Jack Gomez,Jack Gomez,jack.gomez@acquiredco.com,jack.gomez@globaltech.com,2019-10-29,2019-11-01
AC-001934,GT-007609,100.0,16,HR_REVIEW,same_full_name_hire_date_window,AcquiredCo,GlobalTech,Ronald White,Ronald White,ronald.white@acquiredco.com,ronald.white@globaltech.com,2016-09-27,2016-10-13
AC-001945,GT-002472,88.0,1,HR_REVIEW,fuzzy_name_hire_date_window,AcquiredCo,GlobalTech,Aaron Wright,Sharon Wright,aaron.wright@acquiredco.com,sharon.wright@globaltech.com,2020-06-21,2020-06-22
AC-001998,GT-001946,89.65517241379311,8,HR_REVIEW,fuzzy_name_hire_date_window,AcquiredCo,GlobalTech,Sandra Martinez,Sarah Martinez,sandra.martinez@acquiredco.com,sarah.martinez@globaltech.com,2016-09-07,2016-08-30
AC-002019,GT-009067,100.0,18,HR_REVIEW,same_full_name_hire_date_window,AcquiredCo,GlobalTech,Amy Hicks,Amy Hicks,amy.hicks@acquiredco.com,amy.hicks@globaltech.com,2018-10-19,2018-10-01
AC-002042,GT-009768,90.32258064516128,22,HR_REVIEW,fuzzy_name_hire_date_window,AcquiredCo,GlobalTech,Steven Peterson,Stephen Peterson,steven.peterson@acquiredco.com,stephen.peterson@globaltech.com,2024-04-21,2024-03-30
AC-002091,GT-001215,100.0,29,HR_REVIEW,same_full_name_hire_date_window,AcquiredCo,GlobalTech,Alexander Burns,Alexander Burns,alexander.burns@acquiredco.com,alexander.burns@globaltech.com,2022-05-28,2022-04-29
AC-002094,GT-008453,88.88888888888889,13,HR_REVIEW,fuzzy_name_hire_date_window,AcquiredCo,GlobalTech,Adam Rodriguez,Amy Rodriguez,adam.rodriguez@acquiredco.com,amy.rodriguez@globaltech.com,2016-03-10,2016-03-23
AC-002096,GT-006601,100.0,24,HR_REVIEW,same_full_name_hire_date_window,AcquiredCo,GlobalTech,Ryan Mason,Ryan Mason,ryan.mason@acquiredco.com,ryan.mason@globaltech.com,2024-06-16,2024-07-10
AC-002097,GT-005235,100.0,4,HR_REVIEW,same_full_name_hire_date_window,AcquiredCo,GlobalTech,Richard Mason,Richard Mason,richard.mason@acquiredco.com,richard.mason@globaltech.com,2018-11-10,2018-11-06
AC-002107,GT-002985,100.0,9,HR_REVIEW,same_full_name_hire_date_window,AcquiredCo,GlobalTech,Anthony Young,Anthony Young,anthony.young@acquiredco.com,anthony.young@globaltech.com,2017-07-13,2017-07-22
AC-002188,GT-005167,100.0,24,HR_REVIEW,same_full_name_hire_date_window,AcquiredCo,GlobalTech,Sarah Gonzalez,Sarah Gonzalez,sarah.gonzalez@acquiredco.com,sarah.gonzalez@globaltech.com,2017-12-31,2018-01-24
AC-002199,GT-001450,100.0,23,HR_REVIEW,same_full_name_hire_date_window,AcquiredCo,GlobalTech,Jack Mason,Jack Mason,jack.mason@acquiredco.com,jack.mason@globaltech.com,2021-03-11,2021-02-16
AC-002206,GT-004944,100.0,26,HR_REVIEW,same_full_name_hire_date_window,AcquiredCo,GlobalTech,Richard Perez,Richard Perez,richard.perez@acquiredco.com,richard.perez@globaltech.com,2017-08-15,2017-07-20
AC-002309,GT-007275,100.0,30,HR_REVIEW,same_full_name_hire_date_window,AcquiredCo,GlobalTech,Melissa Edwards,Melissa Edwards,melissa.edwards@acquiredco.com,melissa.edwards@globaltech.com,2015-12-17,2015-11-17
AC-002390,GT-004561,100.0,28,HR_REVIEW,same_full_name_hire_date_window,AcquiredCo,GlobalTech,Joseph Mason,Joseph Mason,joseph.mason@acquiredco.com,joseph.mason@globaltech.com,2022-12-05,2022-11-07
AC-002393,GT-005191,100.0,0,HR_REVIEW,same_full_name_hire_date_window,AcquiredCo,GlobalTech,Janet Young,Janet Young,janet.young@acquiredco.com,janet.young@globaltech.com,2016-12-21,2016-12-21
AC-002402,GT-004585,88.88888888888889,3,HR_REVIEW,fuzzy_name_hire_date_window,AcquiredCo,GlobalTech,Larry Crawford,Mary Crawford,larry.crawford@acquiredco.com,mary.crawford@globaltech.com,2018-01-16,2018-01-13
AC-002458,GT-007976,92.85714285714286,19,HR_REVIEW,fuzzy_name_hire_date_window,AcquiredCo,GlobalTech,Robert Martinez,Robert Martin,robert.martinez@acquiredco.com,robert.martin@globaltech.com,2020-09-15,2020-10-04
AC-002465,GT-012716,100.0,11,HR_REVIEW,same_full_name_hire_date_window,AcquiredCo,GlobalTech,Ryan Wright,Ryan Wright,ryan.wright@acquiredco.com,ryan.wright@globaltech.com,2018-04-10,2018-03-30
AC-002494,GT-002831,100.0,21,HR_REVIEW,same_full_name_hire_date_window,AcquiredCo,GlobalTech,Amy Reed,Amy Reed,amy.reed@acquiredco.com,amy.reed@globaltech.com,2017-10-15,2017-11-05
AC-002496,GT-013944,88.88888888888889,16,HR_REVIEW,fuzzy_name_hire_date_window,AcquiredCo,GlobalTech,Stephanie Rodriguez,Stephen Rodriguez,stephanie.rodriguez@acquiredco.com,stephen.rodriguez@globaltech.com,2017-09-26,2017-09-10
AC-002509,GT-012230,100.0,20,HR_REVIEW,same_full_name_hire_date_window,AcquiredCo,GlobalTech,Sarah Shelton,Sarah Shelton,sarah.shelton@acquiredco.com,sarah.shelton@globaltech.com,2017-08-20,2017-09-09
AC-002569,GT-003712,88.0,12,HR_REVIEW,fuzzy_name_hire_date_window,AcquiredCo,GlobalTech,Stephen Moore,Steven Moore,stephen.moore@acquiredco.com,steven.moore@globaltech.com,2015-06-25,2015-06-13
AC-002608,GT-000911,100.0,28,HR_REVIEW,same_full_name_hire_date_window,AcquiredCo,GlobalTech,Charles Parker,Charles Parker,charles.parker@acquiredco.com,charles.parker@globaltech.com,2020-11-09,2020-10-12
AC-002635,GT-000900,100.0,28,HR_REVIEW,same_full_name_hire_date_window,AcquiredCo,GlobalTech,Jose Shelton,Jose Shelton,jose.shelton@acquiredco.com,jose.shelton@globaltech.com,2021-02-22,2021-03-22
AC-002683,GT-002645,100.0,21,HR_REVIEW,same_full_name_hire_date_window,AcquiredCo,GlobalTech,Carolyn Lopez,Carolyn Lopez,carolyn.lopez@acquiredco.com,carolyn.lopez@globaltech.com,2021-10-05,2021-09-14
AC-002691,GT-000440,100.0,15,HR_REVIEW,same_full_name_hire_date_window,AcquiredCo,GlobalTech,Daniel Ramos,Daniel Ramos,daniel.ramos@acquiredco.com,daniel.ramos@globaltech.com,2024-12-08,2024-12-23
AC-002704,GT-013324,100.0,8,HR_REVIEW,same_full_name_hire_date_window,AcquiredCo,GlobalTech,Melissa Hunter,Melissa Hunter,melissa.hunter@acquiredco.com,melissa.hunter@globaltech.com,2020-03-07,2020-03-15
AC-002710,GT-003573,100.0,10,HR_REVIEW,same_full_name_hire_date_window,AcquiredCo,GlobalTech,Stephen Walker,Stephen Walker,stephen.walker@acquiredco.com,stephen.walker@globaltech.com,2024-11-02,2024-11-12
AC-002737,GT-003960,100.0,1,HR_REVIEW,same_full_name_hire_date_window,AcquiredCo,GlobalTech,Richard Boyd,Richard Boyd,richard.boyd@acquiredco.com,richard.boyd@globaltech.com,2015-07-11,2015-07-12
AC-002744,GT-010797,100.0,6,HR_REVIEW,same_full_name_hire_date_window,AcquiredCo,GlobalTech,Stephen Reyes,Stephen Reyes,stephen.reyes@acquiredco.com,stephen.reyes@globaltech.com,2016-06-20,2016-06-26
AC-002749,GT-001468,100.0,10,HR_REVIEW,same_full_name_hire_date_window,AcquiredCo,GlobalTech,Samantha Davis,Samantha Davis,samantha.davis@acquiredco.com,samantha.davis@globaltech.com,2017-04-21,2017-04-11
AC-002814,GT-012639,100.0,6,HR_REVIEW,same_full_name_hire_date_window,AcquiredCo,GlobalTech,Michael Walker,Michael Walker,michael.walker@acquiredco.com,michael.walker@globaltech.com,2016-12-02,2016-11-26
AC-002833,GT-004652,92.3076923076923,1,HR_REVIEW,fuzzy_name_hire_date_window,AcquiredCo,GlobalTech,Carol Morgan,Carolyn Morgan,carol.morgan@acquiredco.com,carolyn.morgan@globaltech.com,2015-07-28,2015-07-29
AC-002907,GT-005655,88.0,10,HR_REVIEW,fuzzy_name_hire_date_window,AcquiredCo,GlobalTech,Linda Stevens,Lisa Stevens,linda.stevens@acquiredco.com,lisa.stevens@globaltech.com,2022-07-14,2022-07-04
AC-002948,GT-013762,100.0,3,HR_REVIEW,same_full_name_hire_date_window,AcquiredCo,GlobalTech,Catherine Robinson,Catherine Robinson,catherine.robinson@acquiredco.com,catherine.robinson@globaltech.com,2020-11-18,2020-11-21
AC-002967,GT-002832,100.0,3,HR_REVIEW,same_full_name_hire_date_window,AcquiredCo,GlobalTech,Debra Wright,Debra Wright,debra.wright@acquiredco.com,debra.wright@globaltech.com,2020-09-03,2020-09-06
AC-002990,GT-014034,88.88888888888889,29,HR_REVIEW,fuzzy_name_hire_date_window,AcquiredCo,GlobalTech,Jessica Moreno,Jessica Moore,jessica.moreno@acquiredco.com,jessica.moore@globaltech.com,2016-08-18,2016-07-20
