employee_id,source_employee_id,company_origin,first_name,last_name,full_name,email,department,department_standardized,job_title,manager_id,employment_type,country,jurisdiction,hire_date,source_system,duplicate_check,kept_in_golden
AC-000011,ACQ_00011,AcquiredCo,Ruth,Dixon,Ruth Dixon,ruth.dixon@acquiredco.com,Operations,Operations,Quality Assurance Engineer,AC-001061,Full-Time,Brazil,,2023-02-26,acquiredco_hris,hris_employee_id,True
AC-000012,ACQ_00012,AcquiredCo,Ruth,Stevens,Ruth Stevens,ruth.stevens@acquiredco.com,Product,Product,Software Engineer,AC-000212,Part-Time,Japan,,2018-06-06,acquiredco_hris,hris_employee_id,True
AC-000013,ACQ_00013,AcquiredCo,Michelle,Cooper,Michelle Cooper,michelle.cooper@acquiredco.com,Engineering,Engineering,Controller,AC-002760,Part-Time,Canada,,2022-08-15,acquiredco_hris,hris_employee_id,True
AC-000014,ACQ_00014,AcquiredCo,Rachel,Kemp,Rachel Kemp,rachel.kemp@acquiredco.com,Information Technology,Information Technology,Senior Software Engineer,AC-001417,Contractor,Canada,,2022-01-09,acquiredco_hris,hris_employee_id,True
AC-000015,ACQ_00015,AcquiredCo,Amy,Moreno,Amy Moreno,amy.moreno@acquiredco.com,Customer Success,Customer Support,Solutions Architect,AC-002165,Contractor,Netherlands,,2021-01-16,acquiredco_hris,hris_employee_id,True
AC-000016,ACQ_00016,AcquiredCo,Susan,Edwards,Susan Edwards,susan.edwards@acquiredco.com,Communications,Marketing,Financial Analyst,AC-000801,Part-Time,India,,2024-03-13,acquiredco_hris,hris_employee_id,True
AC-000017,ACQ_00017,AcquiredCo,Anna,Lopez,Anna Lopez,anna.lopez@acquiredco.com,Supply Chain,Operations,Product Manager,AC-001075,Full-Time,China,,2015-06-27,acquiredco_hris,hris_employee_id,True
AC-000018,ACQ_00018,AcquiredCo,Melissa,Gordon,Melissa Gordon,melissa.gordon@acquiredco.com,Customer Success,Customer Support,HR Specialist,AC-001242,Full-Time,Spain,,2017-03-17,acquiredco_hris,hris_employee_id,True
AC-000019,ACQ_00019,AcquiredCo,Alexander,Parker,Alexander Parker,alexander.parker@acquiredco.com,Operations,Operations,Systems Administrator,AC-001833,Contractor,Singapore,,2023-11-11,acquiredco_hris,hris_employee_id,True
AC-000020,ACQ_00020,AcquiredCo,Janet,Allen,Janet Allen,janet.allen@acquiredco.com,Marketing,Marketing,Staff Engineer,AC-001197,Part-Time,Spain,,2023-03-08,acquiredco_hris,hris_employee_id,True
AC-000021,ACQ_00021,AcquiredCo,Jerry,Porter,Jerry Porter,jerry.porter@acquiredco.com,Quality Assurance,Engineering,Project Manager,AC-002107,Full-Time,Singapore,,2018-05-16,acquiredco_hris,hris_employee_id,True
AC-000022,ACQ_00022,AcquiredCo,Sarah,Burns,Sarah Burns,sarah.burns@acquiredco.com,Sales,Sales,Marketing Specialist,AC-002142,Full-Time,Australia,,2022-05-12,acquiredco_hris,hris_employee_id,True
AC-000023,ACQ_00023,AcquiredCo,Margaret,Peterson,Margaret Peterson,margaret.peterson@acquiredco.com,Product,Product,Senior Product Manager,AC-002179,Part-Time,Ireland,,2024-04-27,acquiredco_hris,hris_employee_id,True
AC-000024,ACQ_00024,AcquiredCo,Benjamin,Cooper,Benjamin Cooper,benjamin.cooper@acquiredco.com,Strategy,Strategy,Marketing Specialist,AC-001172,Contractor,India,,2024-03-04,acquiredco_hris,hris_employee_id,True
AC-000025,ACQ_00025,AcquiredCo,Stephanie,Campbell,Stephanie Campbell,stephanie.campbell@acquiredco.com,Data Science,Data,Product Manager,AC-000277,Contractor,Ireland,,2020-10-29,acquiredco_hris,hris_employee_id,True
AC-000026,ACQ_00026,AcquiredCo,Ronald,Mason,Ronald Mason,ronald.mason@acquiredco.com,Customer Success,Customer Support,Senior Product Manager,AC-001617,Part-Time,Australia,,2022-06-07,acquiredco_hris,hris_employee_id,True
AC-000027,ACQ_00027,AcquiredCo,Thomas,Clark,Thomas Clark,thomas.clark@acquiredco.com,Communications,Marketing,Systems Administrator,,Contractor,Spain,,2017-12-16,acquiredco_hris,hris_employee_id,True
AC-000028,ACQ_00028,AcquiredCo,Jason,Wilson,Jason Wilson,jason.wilson@acquiredco.com,Business Development,Sales,Sales Director,AC-001273,Contractor,Hong Kong,,2021-05-21,acquiredco_hris,hris_employee_id,True
AC-000029,ACQ_00029,AcquiredCo,Justin,Johnson,Justin Johnson,justin.johnson@acquiredco.com,Operations,Operations,Quality Assurance Engineer,AC-000843,Contractor,Singapore,,2021-12-02,acquiredco_hris,hris_employee_id,True
AC-000030,ACQ_00030,AcquiredCo,Helen,Rogers,Helen Rogers,helen.rogers@acquiredco.com,Sales,Sales,Analyst,AC-002174,Full-Time,Italy,,2015-01-13,acquiredco_hris,hris_employee_id,True
AC-000031,ACQ_00031,AcquiredCo,Donald,Lewis,Donald Lewis,donald.lewis@acquiredco.com,Engineering,Engineering,Accountant,AC-000539,Part-Time,Spain,,2023-01-27,acquiredco_hris,hris_employee_id,True
AC-000032,ACQ_00032,AcquiredCo,Samantha,Miller,Samantha Miller,samantha.miller@acquiredco.com,Customer Success,Customer Support,Quality Assurance Engineer,AC-000563,Contractor,Canada,,2022-03-16,acquiredco_hris,hris_employee_id,True
AC-000033,ACQ_00033,AcquiredCo,Dorothy,Collins,Dorothy Collins,dorothy.collins@acquiredco.com,Supply Chain,Operations,Data Engineer,AC-000303,Full-Time,Germany,,2021-01-01,acquiredco_hris,hris_employee_id,True
AC-000034,ACQ_00034,AcquiredCo,Jeffrey,Taylor,Jeffrey Taylor,jeffrey.taylor@acquiredco.com,Quality Assurance,Engineering,Analyst,AC-002549,Full-Time,South Korea,,2017-08-27,acquiredco_hris,hris_employee_id,True
AC-000035,ACQ_00035,AcquiredCo,Matthew,Davis,Matthew Davis,matthew.davis@acquiredco.com,Supply Chain,Operations,Account Executive,AC-000446,Contractor,Singapore,,2022-12-29,acquiredco_hris,hris_employee_id,True
AC-000036,ACQ_00036,AcquiredCo,Stephanie,Mason,Stephanie Mason,stephanie.mason@acquiredco.com,Finance,Finance,Account Executive,,Part-Time,Mexico,,2023-11-20,acquiredco_hris,hris_employee_id,True
AC-000037,ACQ_00037,AcquiredCo,Donald,Lopez,Donald Lopez,donald.lopez@acquiredco.com,Customer Success,Customer Support,Software Engineer,AC-001956,Contractor,United Kingdom,,2019-01-29,acquiredco_hris,hris_employee_id,True
AC-000038,ACQ_00038,AcquiredCo,Gary,Phillips,Gary Phillips,gary.phillips@acquiredco.com,Business Development,Sales,Business Analyst,AC-002773,Contractor,United States,,2022-02-19,acquiredco_hris,hris_employee_id,True
AC-000039,ACQ_00039,AcquiredCo,Samantha,Crawford,Samantha Crawford,samantha.crawford@acquiredco.com,Product,Product,Data Scientist,AC-001582,Full-Time,Japan,,2016-04-30,acquiredco_hris,hris_employee_id,True
AC-000040,ACQ_00040,AcquiredCo,Jerry,Perez,Jerry Perez,jerry.perez@acquiredco.com,Data Science,Data,Controller,AC-000828,Full-Time,France,,2015-05-10,acquiredco_hris,hris_employee_id,True
AC-000041,ACQ_00041,AcquiredCo,Karen,Burns,Karen Burns,karen.burns@acquiredco.com,Supply Chain,Operations,Marketing Specialist,AC-002100,Full-Time,Germany,,2017-02-25,acquiredco_hris,hris_employee_id,True
AC-000042,ACQ_00042,AcquiredCo,Daniel,Burns,Daniel Burns,daniel.burns@acquiredco.com,Manufacturing,Manufacturing,Product Manager,AC-000800,Full-Time,France,,2016-06-03,acquiredco_hris,hris_employee_id,True
AC-000043,ACQ_00043,AcquiredCo,Michelle,Gomez,Michelle Gomez,michelle.gomez@acquiredco.com,Sales,Sales,Software Engineer,AC-000402,Full-Time,Spain,,2018-12-07,acquiredco_hris,hris_employee_id,True
AC-000044,ACQ_00044,AcquiredCo,Adam,Cooper,Adam Cooper,adam.cooper@acquiredco.com,Engineering,Engineering,Marketing Specialist,AC-000277,Part-Time,Canada,,2022-07-15,acquiredco_hris,hris_employee_id,True
AC-000045,ACQ_00045,AcquiredCo,Jerry,Parker,Jerry Parker,jerry.parker@acquiredco.com,Legal,Legal,Senior Product Manager,AC-001115,Contractor,Canada,,2017-04-11,acquiredco_hris,hris_employee_id,True
AC-000046,ACQ_00046,AcquiredCo,Robert,Garcia,Robert Garcia,robert.garcia@acquiredco.com,Engineering,Engineering,HR Manager,,Part-Time,Japan,,2019-06-01,acquiredco_hris,hris_employee_id,True
AC-000047,ACQ_00047,AcquiredCo,Deborah,Jones,Deborah Jones,deborah.jones@acquiredco.com,Strategy,Strategy,Project Manager,AC-001012,Contractor,Italy,,2020-05-31,acquiredco_hris,hris_employee_id,True
AC-000048,ACQ_00048,AcquiredCo,Jerry,Rogers,Jerry Rogers,jerry.rogers@acquiredco.com,Sales,Sales,Project Manager,AC-002511,Full-Time,United Kingdom,,2020-01-11,acquiredco_hris,hris_employee_id,True
AC-000049,ACQ_00049,AcquiredCo,Daniel,Shelton,Daniel Shelton,daniel.shelton@acquiredco.com,Product,Product,HR Manager,AC-001464,Full-Time,Australia,,2022-12-18,acquiredco_hris,hris_employee_id,True
AC-000050,ACQ_00050,AcquiredCo,Benjamin,Bell,Benjamin Bell,benjamin.bell@acquiredco.com,Strategy,Strategy,Solutions Architect,AC-000673,Full-Time,Sweden,,2023-09-24,acquiredco_hris,hris_employee_id,True
AC-000051,ACQ_00051,AcquiredCo,Kathleen,Torres,Kathleen Torres,kathleen.torres@acquiredco.com,Legal,Legal,Senior Software Engineer,AC-001210,Part-Time,Spain,,2019-04-12,acquiredco_hris,hris_employee_id,True
AC-000052,ACQ_00052,AcquiredCo,Laura,Reeves,Laura Reeves,laura.reeves@acquiredco.com,Communications,Marketing,HR Specialist,AC-002961,Contractor,Netherlands,,2021-08-20,acquiredco_hris,hris_employee_id,True
AC-000053,ACQ_00053,AcquiredCo,Stephanie,Morris,Stephanie Morris,stephanie.morris@acquiredco.com,Information Technology,Information Technology,Solutions Architect,AC-002665,Part-Time,Ireland,,2020-03-27,acquiredco_hris,hris_employee_id,True
AC-000054,ACQ_00054,AcquiredCo,Kevin,Brown,Kevin Brown,kevin.brown@acquiredco.com,Engineering,Engineering,Account Executive,AC-000736,Contractor,Japan,,2016-04-03,acquiredco_hris,hris_employee_id,True
AC-000055,ACQ_00055,AcquiredCo,James,Parker,James Parker,james.parker@acquiredco.com,Marketing,Marketing,Solutions Architect,AC-002489,Contractor,Canada,,2024-11-15,acquiredco_hris,hris_employee_id,True
AC-000056,ACQ_00056,AcquiredCo,Michelle,Anderson,Michelle Anderson,michelle.anderson@acquiredco.com,Product,Product,Data Engineer,,Part-Time,Germany,,2022-11-04,acquiredco_hris,hris_employee_id,True
AC-000057,ACQ_00057,AcquiredCo,Jason,Harris,Jason Harris,jason.harris@acquiredco.com,Strategy,Strategy,Recruiter,AC-002803,Full-Time,Brazil,,2024-06-19,acquiredco_hris,hris_employee_id,True
AC-000058,ACQ_00058,AcquiredCo,Ruth,Reyes,Ruth Reyes,ruth.reyes@acquiredco.com,Manufacturing,Manufacturing,Data Engineer,AC-001296,Part-Time,France,,2015-12-27,acquiredco_hris,hris_employee_id,True
AC-000059,ACQ_00059,AcquiredCo,Gary,Ramirez,Gary Ramirez,gary.ramirez@acquiredco.com,Supply Chain,Operations,Solutions Architect,AC-000894,Full-Time,Hong Kong,,2020-06-28,acquiredco_hris,hris_employee_id,True
AC-000060,ACQ_00060,AcquiredCo,Christopher,Thompson,Christopher Thompson,christopher.thompson@acquiredco.com,Human Resources,Human Resources,Data Scientist,AC-001868,Part-Time,Singapore,,2018-03-09,acquiredco_hris,hris_employee_id,True
AC-000061,ACQ_00061,AcquiredCo,Stephanie,Ramos,Stephanie Ramos,stephanie.ramos@acquiredco.com,Legal,Legal,Staff Engineer,AC-002149,Contractor,Netherlands,,2024-01-19,acquiredco_hris,hris_employee_id,True
AC-000062,ACQ_00062,AcquiredCo,Michelle,Wilson,Michelle Wilson,michelle.wilson@acquiredco.com,Legal,Legal,Controller,AC-000227,Full-Time,United Kingdom,,2015-09-30,acquiredco_hris,hris_employee_id,True
AC-000063,ACQ_00063,AcquiredCo,Carol,Thompson,Carol Thompson,carol.thompson@acquiredco.com,Legal,Legal,Controller,AC-000659,Contractor,Ireland,,2020-08-21,acquiredco_hris,hris_employee_id,True
AC-000064,ACQ_00064,AcquiredCo,Frank,Phillips,Frank Phillips,frank.phillips@acquiredco.com,Customer Success,Customer Support,Data Scientist,AC-001671,Part-Time,Hong Kong,,2022-05-21,acquiredco_hris,hris_employee_id,True
AC-000065,ACQ_00065,AcquiredCo,Dennis,Smith,Dennis Smith,dennis.smith@acquiredco.com,Manufacturing,Manufacturing,Analyst,AC-001509,Part-Time,Germany,,2024-12-04,acquiredco_hris,hris_employee_id,True
AC-000066,ACQ_00066,AcquiredCo,Jack,Reyes,Jack Reyes,jack.reyes@acquiredco.com,Communications,Marketing,Senior Product Manager,AC-002531,Part-Time,Mexico,,2023-04-27,acquiredco_hris,hris_employee_id,True
AC-000067,ACQ_00067,AcquiredCo,Lisa,Wright,Lisa Wright,lisa.wright@acquiredco.com,Engineering,Engineering,Operations Manager,AC-000771,Contractor,Singapore,,2024-01-18,acquiredco_hris,hris_employee_id,True
AC-000068,ACQ_00068,AcquiredCo,Nicholas,Kennedy,Nicholas Kennedy,nicholas.kennedy@acquiredco.com,Sales,Sales,Data Analyst,AC-001965,Part-Time,United Kingdom,,2017-06-16,acquiredco_hris,hris_employee_id,True
AC-000069,ACQ_00069,AcquiredCo,Dorothy,Gordon,Dorothy Gordon,dorothy.gordon@acquiredco.com,Customer Success,Customer Support,Senior Product Manager,AC-002930,Contractor,Netherlands,,2019-01-02,acquiredco_hris,hris_employee_id,True
AC-000070,ACQ_00070,AcquiredCo,Jack,Rodriguez,Jack Rodriguez,jack.rodriguez@acquiredco.com,Quality Assurance,Engineering,Senior Product Manager,AC-001283,Contractor,India,,2019-07-24,acquiredco_hris,hris_employee_id,True
AC-000071,ACQ_00071,AcquiredCo,Kimberly,Peterson,Kimberly Peterson,kimberly.peterson@acquiredco.com,Data Science,Data,Sales Director,,Part-Time,Spain,,2018-04-09,acquiredco_hris,hris_employee_id,True
AC-000072,ACQ_00072,AcquiredCo,Richard,Morris,Richard Morris,richard.morris@acquiredco.com,Business Development,Sales,Systems Administrator,AC-001557,Full-Time,Canada,,2017-03-15,acquiredco_hris,hris_employee_id,True
AC-000073,ACQ_00073,AcquiredCo,Cynthia,Sanchez,Cynthia Sanchez,cynthia.sanchez@acquiredco.com,Manufacturing,Manufacturing,Product Manager,AC-002147,Part-Time,Germany,,2022-10-24,acquiredco_hris,hris_employee_id,True
AC-000074,ACQ_00074,AcquiredCo,Sarah,Ramirez,Sarah Ramirez,sarah.ramirez@acquiredco.com,Marketing,Marketing,Marketing Specialist,AC-002803,Contractor,Spain,,2022-12-12,acquiredco_hris,hris_employee_id,True
AC-000075,ACQ_00075,AcquiredCo,Douglas,Perez,Douglas Perez,douglas.perez@acquiredco.com,Strategy,Strategy,Marketing Manager,AC-002096,Full-Time,Hong Kong,,2017-06-04,acquiredco_hris,hris_employee_id,True
AC-000076,ACQ_00076,AcquiredCo,Rebecca,Bennett,Rebecca Bennett,rebecca.bennett@acquiredco.com,Product,Product,QA Lead,AC-002686,Contractor,Sweden,,2023-08-06,acquiredco_hris,hris_employee_id,True
AC-000077,ACQ_00077,AcquiredCo,Rebecca,Warren,Rebecca Warren,rebecca.warren@acquiredco.com,Sales,Sales,Business Analyst,AC-002553,Contractor,Japan,,2020-06-04,acquiredco_hris,hris_employee_id,True
AC-000078,ACQ_00078,AcquiredCo,Anthony,Campbell,Anthony Campbell,anthony.campbell@acquiredco.com,DevOps,Engineering,Systems Administrator,AC-000763,Full-Time,India,,2015-03-27,acquiredco_hris,hris_employee_id,True
AC-000079,ACQ_00079,AcquiredCo,Emma,Henry,Emma Henry,emma.henry@acquiredco.com,Finance,Finance,Business Analyst,AC-002402,Part-Time,South Korea,,2018-08-14,acquiredco_hris,hris_employee_id,True
AC-000080,ACQ_00080,AcquiredCo,Deborah,Nickerson,Deborah Nickerson,deborah.nickerson@acquiredco.com,Sales,Sales,Data Engineer,AC-000387,Part-Time,United Kingdom,,2021-03-12,acquiredco_hris,hris_employee_id,True
AC-000081,ACQ_00081,AcquiredCo,Donald,Reyes,Donald Reyes,donald.reyes@acquiredco.com,Sales,Sales,Quality Assurance Engineer,AC-002691,Part-Time,France,,2015-02-25,acquiredco_hris,hris_employee_id,True
AC-000082,ACQ_00082,AcquiredCo,Nicholas,Crawford,Nicholas Crawford,nicholas.crawford@acquiredco.com,Human Resources,Human Resources,Financial Analyst,AC-001175,Contractor,Hong Kong,,2019-06-02,acquiredco_hris,hris_employee_id,True
AC-000083,ACQ_00083,AcquiredCo,Mary,Hernandez,Mary Hernandez,mary.hernandez@acquiredco.com,Data Science,Data,Quality Assurance Engineer,AC-001196,Part-Time,Mexico,,2020-05-12,acquiredco_hris,hris_employee_id,True
AC-000084,ACQ_00084,AcquiredCo,Rachel,Morris,Rachel Morris,rachel.morris@acquiredco.com,Business Development,Sales,Senior Product Manager,AC-002250,Full-Time,South Korea,,2018-09-16,acquiredco_hris,hris_employee_id,True
AC-000085,ACQ_00085,AcquiredCo,Amanda,Crawford,Amanda Crawford,amanda.crawford@acquiredco.com,Legal,Legal,Sales Representative,AC-000515,Contractor,Spain,,2021-05-28,acquiredco_hris,hris_employee_id,True
AC-000086,ACQ_00086,AcquiredCo,Stephen,Lee,Stephen Lee,stephen.lee@acquiredco.com,Manufacturing,Manufacturing,Analyst,,Contractor,Japan,,2018-03-07,acquiredco_hris,hris_employee_id,True
AC-000087,ACQ_00087,AcquiredCo,Charles,Campbell,Charles Campbell,charles.campbell@acquiredco.com,Business Development,Sales,Consultant,AC-000018,Contractor,South Korea,,2023-08-19,acquiredco_hris,hris_employee_id,True
AC-000088,ACQ_00088,AcquiredCo,Sarah,Torres,Sarah Torres,sarah.torres@acquiredco.com,Data Science,Data,Software Engineer,AC-002366,Full-Time,Hong Kong,,2018-11-04,acquiredco_hris,hris_employee_id,True
AC-000089,ACQ_00089,AcquiredCo,Carolyn,Morris,Carolyn Morris,carolyn.morris@acquiredco.com,Finance,Finance,Financial Analyst,AC-002188,Contractor,Mexico,,2024-10-12,acquiredco_hris,hris_employee_id,True
AC-000090,ACQ_00090,AcquiredCo,Kevin,Wilson,Kevin Wilson,kevin.wilson@acquiredco.com,Supply Chain,Operations,Data Analyst,AC-000133,Contractor,Hong Kong,,2017-03-01,acquiredco_hris,hris_employee_id,True
AC-000091,ACQ_00091,AcquiredCo,Carol,Clark,Carol Clark,carol.clark@acquiredco.com,DevOps,Engineering,Data Analyst,AC-001074,Part-Time,Italy,,2018-08-30,acquiredco_hris,hris_employee_id,True
AC-000092,ACQ_00092,AcquiredCo,Cynthia,White,Cynthia White,cynthia.white@acquiredco.com,Engineering,Engineering,Senior Software Engineer,AC-002079,Contractor,United Kingdom,,2023-06-24,acquiredco_hris,hris_employee_id,True
AC-000093,ACQ_00093,AcquiredCo,Raymond,Price,Raymond Price,raymond.price@acquiredco.com,Manufacturing,Manufacturing,Controller,AC-002758,Contractor,Mexico,,2017-06-02,acquiredco_hris,hris_employee_id,True
AC-000094,ACQ_00094,AcquiredCo,John,Torres,John Torres,john.torres@acquiredco.com,Engineering,Engineering,Accountant,AC-000152,Contractor,Mexico,,2024-02-22,acquiredco_hris,hris_employee_id,True
AC-000095,ACQ_00095,AcquiredCo,Patrick,Gomez,Patrick Gomez,patrick.gomez@acquiredco.com,Data Science,Data,Senior Product Manager,AC-001603,Contractor,United States,,2020-05-27,acquiredco_hris,hris_employee_id,True
AC-000096,ACQ_00096,AcquiredCo,Nicole,Ramos,Nicole Ramos,nicole.ramos@acquiredco.com,Product,Product,Controller,AC-000583,Full-Time,Hong Kong,,2015-12-09,acquiredco_hris,hris_employee_id,True
AC-000097,ACQ_00097,AcquiredCo,Sandra,Moreno,Sandra Moreno,sandra.moreno@acquiredco.com,Legal,Legal,Consultant,AC-002694,Part-Time,Hong Kong,,2023-11-20,acquiredco_hris,hris_employee_id,True
AC-000098,ACQ_00098,AcquiredCo,Benjamin,Walker,Benjamin Walker,benjamin.walker@acquiredco.com,Supply Chain,Operations,Marketing Specialist,AC-000711,Part-Time,Singapore,,2020-03-26,acquiredco_hris,hris_employee_id,True
AC-000099,ACQ_00099,AcquiredCo,Elizabeth,Gomez,Elizabeth Gomez,elizabeth.gomez@acquiredco.com,Communications,Marketing,Senior Software Engineer,AC-001115,Part-Time,Sweden,,2018-04-29,acquiredco_hris,hris_employee_id,True
AC-000100,ACQ_00100,AcquiredCo,Ruth,Lee,Ruth Lee,ruth.lee@acquiredco.com,Business Development,Sales,Financial Analyst,AC-001699,Full-Time,Hong Kong,,2018-09-02,acquiredco_hris,hris_employee_id,True
AC-000101,ACQ_00101,AcquiredCo,Robert,Boyd,Robert Boyd,robert.boyd@acquiredco.com,Engineering,Engineering,Sales Representative,AC-001396,Full-Time,Netherlands,,2018-05-12,acquiredco_hris,hris_employee_id,True
AC-000102,ACQ_00102,AcquiredCo,Edward,Garrison,Edward Garrison,edward.garrison@acquiredco.com,Customer Success,Customer Support,QA Lead,AC-002482,Contractor,Hong Kong,,2022-06-17,acquiredco_hris,hris_employee_id,True
AC-000103,ACQ_00103,AcquiredCo,Jacob,Taylor,Jacob Taylor,jacob.taylor@acquiredco.com,Marketing,Marketing,Data Analyst,AC-002428,Full-Time,Canada,,2020-10-10,acquiredco_hris,hris_employee_id,True
AC-000104,ACQ_00104,AcquiredCo,Kathleen,Garrison,Kathleen Garrison,kathleen.garrison@acquiredco.com,DevOps,Engineering,Marketing Specialist,AC-001287,Full-Time,South Korea,,2024-01-18,acquiredco_hris,hris_employee_id,True
AC-000105,ACQ_00105,AcquiredCo,Samuel,Shelton,Samuel Shelton,samuel.shelton@acquiredco.com,Business Development,Sales,Financial Analyst,AC-000825,Part-Time,India,,2021-11-19,acquiredco_hris,hris_employee_id,True
AC-000106,ACQ_00106,AcquiredCo,Peter,Edwards,Peter Edwards,peter.edwards@acquiredco.com,Customer Success,Customer Support,Consultant,AC-002486,Part-Time,South Korea,,2020-01-19,acquiredco_hris,hris_employee_id,True
AC-000107,ACQ_00107,AcquiredCo,Anna,Collins,Anna Collins,anna.collins@acquiredco.com,Communications,Marketing,Sales Representative,AC-000890,Contractor,Mexico,,2015-01-10,acquiredco_hris,hris_employee_id,True
AC-000108,ACQ_00108,AcquiredCo,William,King,William King,william.king@acquiredco.com,Manufacturing,Manufacturing,Quality Assurance Engineer,AC-002072,Part-Time,Ireland,,2017-08-09,acquiredco_hris,hris_employee_id,True
AC-000109,ACQ_00109,AcquiredCo,Angela,Anderson,Angela Anderson,angela.anderson@acquiredco.com,Legal,Legal,Sales Director,AC-001785,Full-Time,United Kingdom,,2015-08-22,acquiredco_hris,hris_employee_id,True
AC-000110,ACQ_00110,AcquiredCo,Dorothy,Peterson,Dorothy Peterson,dorothy.peterson@acquiredco.com,Human Resources,Human Resources,Systems Administrator,AC-001422,Contractor,China,,2015-07-31,acquiredco_hris,hris_employee_id,True
AC-000111,ACQ_00111,AcquiredCo,Deborah,Crawford,Deborah Crawford,deborah.crawford@acquiredco.com,DevOps,Engineering,Project Manager,AC-001464,Contractor,United Kingdom,,2018-05-13,acquiredco_hris,hris_employee_id,True
AC-000112,ACQ_00112,AcquiredCo,Christine,White,Christine White,christine.white@acquiredco.com,Engineering,Engineering,Senior Product Manager,AC-001207,Contractor,Singapore,,2024-06-08,acquiredco_hris,hris_employee_id,True
AC-000113,ACQ_00113,AcquiredCo,Henry,Hicks,Henry Hicks,henry.hicks@acquiredco.com,Legal,Legal,Operations Manager,AC-001332,Full-Time,Singapore,,2018-11-05,acquiredco_hris,hris_employee_id,True
AC-000114,ACQ_00114,AcquiredCo,Douglas,Hicks,Douglas Hicks,douglas.hicks@acquiredco.com,Information Technology,Information Technology,Business Analyst,,Full-Time,France,,2017-07-14,acquiredco_hris,hris_employee_id,True
AC-000115,ACQ_00115,AcquiredCo,Christopher,Scott,Christopher Scott,christopher.scott@acquiredco.com,Operations,Operations,Marketing Manager,AC-002500,Part-Time,United Kingdom,,2019-05-14,acquiredco_hris,hris_employee_id,True
AC-000116,ACQ_00116,AcquiredCo,Michael,Gordon,Michael Gordon,michael.gordon@acquiredco.com,Customer Success,Customer Support,HR Manager,AC-002171,Part-Time,United States,,2019-08-19,acquiredco_hris,hris_employee_id,True
AC-000117,ACQ_00117,AcquiredCo,Brian,Williams,Brian Williams,brian.williams@acquiredco.com,Finance,Finance,Product Manager,AC-002669,Contractor,Netherlands,,2018-05-29,acquiredco_hris,hris_employee_id,True
AC-000118,ACQ_00118,AcquiredCo,Jason,Dixon,Jason Dixon,jason.dixon@acquiredco.com,Operations,Operations,Solutions Architect,AC-000682,Full-Time,Australia,,2024-11-03,acquiredco_hris,hris_employee_id,True
AC-000119,ACQ_00119,AcquiredCo,Sharon,Rogers,Sharon Rogers,sharon.rogers@acquiredco.com,Customer Success,Customer Support,Quality Assurance Engineer,AC-000822,Contractor,Germany,,2022-05-18,acquiredco_hris,hris_employee_id,True
AC-000120,ACQ_00120,AcquiredCo,William,Parker,William Parker,william.parker@acquiredco.com,Legal,Legal,Operations Manager,AC-000720,Contractor,Ireland,,2024-12-03,acquiredco_hris,hris_employee_id,True
